project_id,display_name,project_name,chain,metric_name,sample_date,measurement_period,amount
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,zkCodex,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,POLYNOMIAL,contract_invocations,2025-10-01,Oct 2025,1.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,OnChainGM,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,POLYNOMIAL,contract_invocations,2025-10-01,Oct 2025,102.0
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,zkCodex,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,POLYNOMIAL,contract_invocations,2025-09-01,Sep 2025,2.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,OnChainGM,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,POLYNOMIAL,contract_invocations,2025-09-01,Sep 2025,192.0
vCa+wBp0799NJ8j9L6UgKxKmqiLT95Zk/aQX/hXty7c=,Mint Club,0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,ZORA,defillama_tvl,2025-09-01,Sep 2025,33321.53333333333
I9s4JF4Xq4hWZ9kKevsPsUMtTVgWDJN1qVme/V1Ooe0=,LlamaPay,0x93decae913f62c0a86519d0b0798e4a10c46c541bfc14dcff0193d6b026e9532,ZORA,defillama_tvl,2025-09-01,Sep 2025,0.0
6VnbKDZQuBfiyb/2iPBBiDBeoB1UirMG0HrJ4nxcWyU=,Catex,0x5c7ac8becc35168a91b594f18284f7ea661ab2bf727d6bfac80fb6f04c4792ec,UNICHAIN,farcaster_users,2025-09-01,Sep 2025,1673.0
FfXoEN2YNayzuwjlJN2xtQWdP5War/J/3WLgkc8sX6s=,OmniHub,0xd7a8e115b2b3772d7d5656d7798e349dcdedf2463302c78528c9e9686ab4efe3,UNICHAIN,farcaster_users,2025-09-01,Sep 2025,26.0
vCa+wBp0799NJ8j9L6UgKxKmqiLT95Zk/aQX/hXty7c=,Mint Club,0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,UNICHAIN,farcaster_users,2025-09-01,Sep 2025,19.0
0IoaqfH0mkl61jIvWC/JWobbYPP2gn9rTTSuF2/Ydew=,Layerswap,0xafca3591b83586f14e21b397135b95af668f5ebb54cb45053af44a73df7d7640,UNICHAIN,farcaster_users,2025-09-01,Sep 2025,48.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,OnChainGM,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,UNICHAIN,farcaster_users,2025-09-01,Sep 2025,2084.0
WYOqOAS1GQUY+fB8hZiZg+rUOPUVowBgLPcjBgozgD8=,Sweep,0x9474aa1827bd6386bdb0290bd89b6a13ebfc5d5aefc1ca370e9f2dd5355e330b,UNICHAIN,farcaster_users,2025-09-01,Sep 2025,5.0
