onchain_builder_project_id,devtooling_project_id,dependency_source
6W8Z79vNTFVXH6minIPAhAZ7I5YHMDq9hgEkufjDz+Q=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
AAhkBpzlnA5y0kvoCAEDtJoqf+ItxsbGkwYOa0RRmX0=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
InBwrPyjI4W4SszVQ8m3Vz9EenyN2Ww0BS3a7SY7dgo=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
LwtDC39OJgJjYwFAbn/kDkKJgaxSy6Rezg+lQhBAbMQ=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
LwtDC39OJgJjYwFAbn/kDkKJgaxSy6Rezg+lQhBAbMQ=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
UFXNRBcMQFR5sO8mg3+DC5YIMeVl8+vAc6Mv/BxIlsQ=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
sk6r7ZPWQ+01BAtVpIaK6uoxXW4vIY7S6x1ygr3870Y=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
UGZnpKRx9QEG/+8y2PemtAIUF72J4SMm36VEADnsJ5U=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
obhZmsogKPwIoJqhhqsTg2tpVPoLJYjA5mOUzEKtSLs=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
Gt+ncr+qgCNGFMLqTHhFgGb2VEptwvo3jsiTvtd8fnE=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
Te2nZaFW2M/6DMbfuJE3J0ahxI8d+hHBZa6GyGeq7E8=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
Q3otD2dVMuz3OUvC1yAKkIrl9KIt8ksR1rOXG/vLvfI=,1umB0u6OkfQvegnnx2lkwvEISHWAtG3PmHCVXVHone8=,NPM
YmNg07FUN1wtq/iVOviQ90GA+WW5MY6UtBWgxc1f+TE=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
bnzwxyhCMzIG0ZOZOoDMEX2euxER7M/6hOePSsnlVR0=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
4iXU/Dlz1CBdUGyuiUP6IiMJtBR+GKUn1tkbSSLOGQQ=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
L1FGc2AIMWcbDulPkpgzndWnljElZEAxxr+jPOdn0WQ=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
87Uygt4CNKHiBhvGlVmFtfsKiPrxJiEXWcRnubfQUpg=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
WgjraPoKVNdchRZE5M3rAFSPPceQ/Ez++PtNJoj9mJs=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
hYiG7idYm2fXSbbrUGZkbSHUTE74718u6TDZCbxWRT8=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
c/dKIiJnIKIxWPUPaAC30nS/TmqojvpagHXzV2L6td8=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
InBwrPyjI4W4SszVQ8m3Vz9EenyN2Ww0BS3a7SY7dgo=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
hMNrmX7nfpMimNe0zQmqdkZVy4PrhU3MIliN9gVR9y0=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
fHqtzjjFUIWmBZyZ3AAjjo7JPFRrTW4B3EvYGLVV3lY=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
5uZFQH9IOekf6/GyA0E9dfbJwIRCmUIbU7Leycl0s4Y=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
eid5gZ3mC0JHbMYg33dvcofcqwp2cvkhO3LZAt8fl7A=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
XdhikL3cf5bRXI2OXov0CirCwuoEGu902pgRV33gxnU=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
vljVm2wFJVTJOn83aGy7H8E+sXB4bjOfc2JAyCM/unI=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,R04wCZhk2yd96qDs1j6TL2jMhi5toVCbetozykh0ojA=,NPM
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,kGf2n8nHqdHW+W72RL17yFJtup+Ycso5gTFoaP84D9E=,PIP
