project_id,project_name,display_name,fork_count,star_count,num_packages_in_deps_dev
rnCU69afAeJVsln1gXM1Pt6cMqD09FFS5C8Q38NWifM=,0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d,Passport XYZ | Gitcoin Passport,65,260,0
ViJ3AIpzN392AWGURZpGQA0Y/Lbk2xlAhynmzWEbhOs=,0xc4f4309de505d2581218e6a4f9634e37d546c8f2bc51242540ca1486b965c0f2,evm-mcp-server by mcpdotdirect,61,259,5
vN8m6FeWoAE7kgaqLbCsctIher0E1VKE4ZGyGKlHmzI=,0x852f6213011d0ad31206df4993d22721102dbe615bb93492d6e8be8d89676243,foundry-devops,33,232,0
YCGhoogUycGZ4sjXnFmIKfA90TlSuhQ6Qdq2zl8vtLk=,0x0cc5d7a8088f227787992130b3cffe143db1c904af1ac27324f84e762b84f35c,Solarity,34,229,2
JiJ2H5QvNLbljLo2b/7BotyQNHj8MycH7W5ZnixYtwE=,0x5a7e7c7acb21521e99021d746740b368801cbfe531301e50bdbaafdc24a0aac5,js-libp2p,65,225,467
hjV6HsTEOKJ88nJuwSqzjdEsO16HeGuCD33EmN3xV/M=,0xa0b16714baef75d97ec07fd48eaf42e79df92fe2a3c2d725d2388ede587ea54c,Ape Framework,58,219,4
FT3wZj26UAebMH4ywu7oQvrie1GQSmu9aogl40bsCWQ=,0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3,CreateX,36,206,0
7rwdFTFib9+grFKppnjKORPAWVgxJtx50HjnF+7/4Rk=,0x66cb156952c9cd26c329a490b1ae9a90167f3067bbea337888b5d70d374959d7,ZK Email,59,197,3
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,LI.FI,98,186,16
1nU8pbk88dRzJ1G9YJHa2Ru8pMsRWEDEiclbI9/TEIk=,0x2d90d9565ef127727845637425880545cfebe0931160ce25afe929f8ab415706,Tevm,24,174,72
5AamWhqmMtR5oDQp4/5JFyOWySBwFLfsOGMBxdCD37s=,0xa873dcdcc84e0022edd2f7d5cc8646667b87bf06609d506cd8e39dbd7412fa59,Foundry MCP Server,23,170,1
T06WDky5wuHt7zjSM3rZWAKPFqsoL7iUmXJFuWupcPc=,0xaed5941b7a9f20de83f5c839bda507be43cbf41777fc623abf4bf05773298826,Otterscan,38,154,0
XnDkeCj+BIXcgu136Pn/CS8anzzJmjwM5NKjSNwugl0=,0xabdfa10e699db5127100da1dd2403692afe8d86e793d57780f1c7e93437a73a0,WhatsABI,23,149,3
kMKVfhDqK7tGn11JkiOR4JoEvPhuu3h3tWJeU7zzHfg=,0x7e917a2d0718401c9fe2a82f43ea558f5128f251b1e658c76dc7ff9a5e9fd993,PRBMath,16,143,1
PEUfmLE6ZxoyY4FGC9j0lK91ggLO4oJmrNLeIDw5uL8=,0x4dd10ba330a4a21459e2ba72f15fb5da2a63f7492e2b1567e6669c3d47fe6308,Web3j,44,140,2
AEhFE0/kNz2nuuHL9eIeHD599eOV0zEw/xd/Pajloas=,0xb9996d35862a7c60282da2adf3447f043580f586fcb702ff6869896d15ef6344,Medusa,36,138,1
uqohyEHaJE/DosOj9+gh3jGny1Nes5mzs2fqeCoIjFw=,0x5e6c436e48e56d6d9622ba5d0be0035c314e2b29d2afc8f5f1ee8ac75cd42532,Snapshot,59,135,1
fFZ4/okuS+whKFMNfZiydVjZdIbOulD8cc5DbiChoZY=,0x5cfdb8c453a7eede1946071e9d7417d01cc2116f57563b87dc0094a6bdb9a081,OP Toolkit,84,131,2
JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,0x9b639cc6061e41a1d12adb39619a2fddb7005074cf965a3a6f4eabc6eea31112,Ronan Sandford,43,131,26
+ss9G+TaR12Qyecrc+rlT6f/fnE0jMwk5WNdtsvXn7o=,0xdd81f0fbb21c949e5d67176b22a39cfdc7c774349214a450df78eb31174413db,beaconcha.in,73,127,1
kGf2n8nHqdHW+W72RL17yFJtup+Ycso5gTFoaP84D9E=,0x5200a7351f8d195401dc04631fb83e4836f73a2794f316b2739c03807f30a78b,Brownie,47,121,2
jsNOONeRmUXt8ZCZmegwrlYTilEGRf5gu9b+7E2gNHE=,0x51cda5996ef1a2ccd8fcf4ee5792337695599454c83eb1218c3ad4388dcb5bf5,Sourcify,114,121,11
Gs3aazAbSMODmvjViBNNN3SIoyQtGQL9p1kipzQDPvg=,0x8589657542ff4b7c5071dfdeff18a041642a72344ede9acea701e9b39fb46fee,Chimera,27,119,0
M4zu02WbVY+1AcNtrRRzxU+clAoOn8qRDaFvAgY5Ljk=,0x4a5e771af86cf1938056b43cddbf0018dca1376d578f631f7449fe10ac4958ed,Nethereum,53,115,139
wuxAw2hKpE9CfgLz3KD8SjZltjPhta2uVKB6UdleGho=,0x67f6d1feb3b5e99caf0f2e7e4677494c57449de3980079589156e105df485488,Moccasin,26,112,1
uGbSlae4LNwwsCMEQRkgXeWpslj9Fb2t2pHzS6aj82A=,0xbb067b01988521110c91737f058e7301f608be231d850a72af1516bd034d161c,Synpress,27,112,18
C0pKjv5EgYil0/lR6YJc3EBIlbKXKvSsmGQpbEKlma0=,0xcd032b75396f45f1ef82c8a38142352afa6071fbcd840480408e10e2aab9006d,miniapp starters,33,107,0
pWQwBG0vClrKeqsZeS+ZWTMXQ09dabDhwwff85NZMTo=,0x740bebbc731ec56dcc17c7d429656220a73960022c3809edf324bd8120285722,bulloak,8,106,3
yWT3frjYCLs+Bd7M9LDe9JW6vXFoAAhgmZBK3hKC87Y=,0x541b7b08401d799b87f583c102a6c94cee7105f1b29dc630de5edbbd966d7c13,Fe Language,26,103,1
Iz1PaREiXObxPIwbCs72rVgsi/WdlKg4KYrmOfbRs2s=,0x79e8bf2d699790b563aa57fd34da1722bea3191ab5ff0601ba56020687702ab9,Etherspot,30,100,2
5/9fRbVoDF7pHwBdiMbNUbKhidEt/12Ojt9f8cWoZnQ=,0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd,Velodrome Finance,52,100,1
QGvGlrA3BZty4k6T1zzkPlfmIDGwtbGR01uDHu/rwfQ=,0xfbc74fb5d15b7b2554277371a41ee6ff1bf392377bce5fbfce140c2980cc4f64,Revoke.cash,47,99,0
Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,Ethereum Attestation Service (EAS),49,96,6
b9Ln/oJ391BCdgtl8bjkvvb4QhQZF6nfJbjQDYZP00Q=,0x09b95c7697625da4915338750c5f78446817a3634cb38bc9155e26bbbc0c87f1,Maintaining simple-optimism-node,39,96,0
HZHNYUV8xCR/cLPsDqnK0eHPRW8V8VDpn+vlsx4M+8w=,0x2dc32d847e8ad483904ea803437b9ba003208b6c8e8155b7b1c2cf2597025140,Wake,15,96,1
kGqT6jpsjzIUAt0enkz3GQmbOu37rELMoRCzu/Lg0I0=,0x2247247c751707d897f5c0eab670426d9c1c26d84e96ac226004afbf0080cba4,Rundler,44,95,0
4aRENZ83XIsUO4+5379tnygPUm8Z+dpDte2ZMIi1F/4=,0x93c4efb5e2d7416c56ecdcd8244be8faf924194d65b514d90a7a51f6797cc012,Swiss-Knife.xyz,30,94,0
NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,0xfa7d950cfda2c634b052b6c07e75daaa95dd22ac1f220b6862cfd24221d4cabc,Solhint,36,89,5
l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,0xc377ed1b705bcc856a628f961f1e7c8ca943e6f3727b7c179c657e227e8e852c,MerkleTreeJS,18,81,1
lgnblaeDVZ6FzQs9TDTWrP1THAtg8/8hNmwD5NU1I74=,0x46aff4985914b8e56b8fd62a9b8c3a03e2320315a9dfd6126e5ae272173cda87,Patterns wallet analytics & CRM,61,79,0
L5qwcfkNQpDuieBxknsUgsdqMg2MBBIQUHvacifzapo=,0xa790f0641e8d72abc88efd13ca215e2dc7e736a4a59ca5a9e0020af29d6297f2,Crytic-Properties,13,77,0
CO4y3z3N8dYNgMFAplseDCMMZ2OVKhfJ6Ibj4FkCfpI=,0x50159544ec22884b777a997a625c75bb02e55b1dc8934aad3b78678e7c11d039,🐍 snekmate,17,76,1
TzX0BMlslDkdd45L1PJQePW0M+Tc0kQ0SqLdKkBGIwo=,0x2c97e213fef2bd3f30a71edf6ed48232640368d0083dc0a134a1b59391639bde,hevm,17,76,0
ZYiGfGhLr1kdrN5ykW1QF/4yUjZPQM/71bkaYtunHEc=,0xf2a60464d2a56fb47d2f8c13001edea71eda11ffd8fffec5f559495c6a5878d4,Unruggable ,8,75,0
sq8gENmCu+D6rPwI78+jG29f2a19GLOq+rHlXOL3oyQ=,0x819775803938d78eaa95809971ce94cae6a54b4df58505fa36153ffa1d55e12c,Vscode Solidity Extension,19,73,4
If0GvZIFNaGViWXU52YRIKXd2jDvwKJCJzlQtoXEhM0=,0x85af258d3fae6bbd2e14ffa8f5b73b64e34b7f8efe685c40134c3f54774e8d6c,Skandha ERC-4337 Bundler,23,73,1
h3jEJdRcVAt02ak01S/7Bm7/lbtICszT1cgKKJziCro=,0xfbecd6308658b3d40a5249d4b249d10537165f57ea528cc796aef5ce1eb1f0d8,executooor,14,72,3
QAoi7Xos7OeY6GJiS2jssL7T4a+/fwdeekw25Yzni8M=,0x6f8f610667400044907494c879b717e806a03bf519dcfd786edc7f2fa61d6db8,OpenRPC,33,68,16
hQT0o0eGDigVq+MHI5d5zZYxoRHoJJaiUFMvSq/mdhk=,0x90bbb485004d99e20be133d2c26abc1f63a2c1ec8107358e87853b001bfb6597,Updraft,52,66,0
wuSnSVAxl89aoZwqFIycyZVRTWEzuqI6Ckx7/hkCJe8=,0x881736756bdcc544ef526f7719608161ca00c6aed5d8f9b8837bdc1914f2abc6,Understanding-Optimism-Codebase ,9,64,0
w/6sl5gXwJCN3sCYNGJ5X9McmopS0SGaZCYEfZ/gg9E=,0x414ffb06789667ba95546e05e0456445145d3de23b05b3a8ce051cbc142bfb3f,React Native Passkeys,15,62,3
WtN9XI9Kg+Iiz3IcUCQYqqYdRLfiPssnfGoKxob6o3I=,0xab6214e09c6adc3022147ba7fffe1924f9bad3ecbe69e410f428808e91fd6f06,Zink Language,20,61,0
y7poby3XN/G2jUZCQF/NyXvyI/WbhpxmkmO+53p3FtA=,0x2a04bac7482169a929fd70444bbfac10654d0588e022db7527566dbfc307d2e9,Solc-select,16,61,2
T5JyiUTt5UnCt95/6Xyjn04da6UU9epzDAizTapPUUU=,0x07222a857f4522026d91faec337e3cb8cf6ec5f7afb823e0742e1a6c398b81ff,Impersonator.xyz,23,59,0
MpfwinLjX6GV+Uf+/sZKstNTWHEFLHhqb8NyNEAPF7g=,0xc0809225b6287417d08ec0fde8d632ecc935296e61e239e7e44559c7dd7f2495,Crawling the Ethereum P2P network with Nebula,19,59,0
