project_id,project_name,display_name,total_transaction_count,total_gas_fees
1tglFLCPO1i0woe4TW7pBm1iMqrhlWJ1cv2L/5b0VUk=,eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction,45917337,327.0996828918005
iwWa+M1zV0b5P/oF7SOTjZCXO312To8Vn/msNumIXUo=,stackup,Stackup,46112118,282.024661696731
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,uniswap,Uniswap,396325403,275.3599655868942
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,aerodrome-finance,Aerodrome Finance,1013358051,226.57075491873272
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,reservoirprotocol,Reservoir Protocol,44221781,112.76045856644043
AAhkBpzlnA5y0kvoCAEDtJoqf+ItxsbGkwYOa0RRmX0=,circlefin,"Circle Internet Financial, LLC.",271968635,55.11729959552641
Db8NOUJfbffKFKzkzQogIQiTfagCXS7WMOn+kkq6mN8=,kyber-swap,KyberSwap,6936631,46.73801027862878
Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,1-inch,1Inch,2581405,36.002294042242205
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,xen-crypto-faircrypto,Xen Crypto,234961815,18.3421579649898
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,zora,Zora,51388370,15.827212073184567
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,virtual-protocol,Virtuals Protocol,65309368,15.099872998289937
0wTetcgdAs7+boj3ROTnd7BiHXTxK1oGU3haIFFyc4s=,odos-xyz,Odos,9141592,13.241876760450438
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,velodrome,Velodrome,474796129,12.0251500347385
jhTJFpXpZUW/tw3mSJcZqgAZPsspzU6QyDYEb+bxe+0=,kyo-finance,Kyo Finance,75362793,11.344444728309677
6UcWU7xwFGmSZ5UkcW2HE2zl+oj1pxP8yxX4xn1t+ko=,debridge-finance,deBridge,1264104,10.74271931597401
As9H82L8UoJzE97yMeP4TbewafniYHdvyC68sIc/NlA=,createx,CreateX,3863186,10.353551466252306
6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,lifinance,LI.FI,19316530,9.886081952928318
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,across,Across,9548622,9.008583128476769
6tRI41WccHRSn85VxRLq9FTwuTPfR7oslGsx9BoVFdY=,javsphere,Javsphere,4792334,8.80980537129583
dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,metamask,Metamask,3278009,8.529152656613157
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pancakeswap,PancakeSwap,126098506,7.5405985804395605
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,third-web,thirdweb,10715816,7.110044229562378
L1FGc2AIMWcbDulPkpgzndWnljElZEAxxr+jPOdn0WQ=,synthetix,Synthetix,6417008,6.897100681222616
ynNcbWgLkOpL7ijgFRe7wPIhS1IWOmm7uNerNWtlA/w=,dinngo,Furucombo,51312,6.614150643096371
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,safe-global,Safe,19927462,6.019071782575573
h650Z9M0g9b9eEREc+Hoo5gLiHYGHPV8HTnHz6HeDJE=,layer3xyz,Layer3,9750058,5.970832478722565
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,aave,Aave,55792887,5.9214023562826466
hMNrmX7nfpMimNe0zQmqdkZVy4PrhU3MIliN9gVR9y0=,baseswapfi,BaseSwap,10200300,5.623368470468665
qRMDRovBgcYS7aEaZWErA7bhJsU0YOjbEZkp3GNi5ss=,gainsnetwork,Gains Network,7175375,5.496786656537591
P+oOsZgabapvNS1cwd6MY3RegKtJLAfzUJrBpUo8THI=,smoldapp,Smol Dapp,271995,4.383135445159534
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,layer-zero,LayerZero,48031616,4.190379797840827
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,dexalot,Dexalot,46023618,4.0819784243823625
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,hyperlane-xyz,Hyperlane,31203886,3.984879853177322
1W3Lrl4fW0q/uQzqEvLBU+/jsKT3YQfP9OA89ZY0gXo=,tarot-finance,Tarot Finance,18417637,2.977409332285135
V9cLpIkU/z1qoFKorpO0P/HNgBI37ZexTmGZpHGUA1c=,arcadia-finance,Arcadia Finance,624463,2.869478556551382
Zy6ZHnI5FaGA6G9Pm0+DxqvFg3pcni2pcNqd6VPbsG8=,stargate-finance,Stargate Finance,8903828,2.7910281628947486
kqujZQziAKlmF1hZHKciuM4kcUp+XOn5Fo/d+VZMa2E=,rainbow,Rainbow,514034,2.639923907634836
GaSafIT+0c0Ser5z+X+L/kks0foxsv7C37sbJY3IOM8=,gammastrategies,Gamma Strategies,622373,2.4748898775402832
2Ie3pEkBr3DrOo3nMSfWQt4EuX4qLHGCpWQ9Us5cLys=,magpiexyz,Magpie,3910116,2.387365506543813
HG82ZJgWrvt0Nq2de4DtXoNFMaCv22KSY72BQs6+bNc=,extra-finance,Extra Finance,943398,2.2926900204188003
v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,sushi,Sushi,19741878,2.2714394552907735
fHqtzjjFUIWmBZyZ3AAjjo7JPFRrTW4B3EvYGLVV3lY=,phi-labs-inc,PHI-LABS-INC,1784589,2.259222481459127
YmNg07FUN1wtq/iVOviQ90GA+WW5MY6UtBWgxc1f+TE=,openocean-finance,OpenOcean,1954880,1.975440225721081
