project_id,project_name,display_name,total_transaction_count,total_gas_fees
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,aerodrome-finance,Aerodrome Finance,990915514,226.57075491873272
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,velodrome,Velodrome,407638547,12.025150034738504
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,uniswap,Uniswap,389650406,275.3599655869046
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,xen-crypto-faircrypto,Xen Crypto,234961815,18.3421579649898
AAhkBpzlnA5y0kvoCAEDtJoqf+ItxsbGkwYOa0RRmX0=,circlefin,"Circle Internet Financial, LLC.",230081364,43.6142431511406
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pancakeswap,PancakeSwap,114913626,5.3168425660148015
jhTJFpXpZUW/tw3mSJcZqgAZPsspzU6QyDYEb+bxe+0=,kyo-finance,Kyo Finance,75362793,10.582922241185726
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,virtual-protocol,Virtuals Protocol,65309368,15.099872998289916
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,zora,Zora,51388370,15.827212073184569
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,layer-zero,LayerZero,48031616,2.986994268656596
iwWa+M1zV0b5P/oF7SOTjZCXO312To8Vn/msNumIXUo=,stackup,Stackup,46112117,174.10163031763275
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,dexalot,Dexalot,46023618,2.888495812676425
1tglFLCPO1i0woe4TW7pBm1iMqrhlWJ1cv2L/5b0VUk=,eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction,45917337,205.3784291743322
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,aave,Aave,41606522,4.174092974031904
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,reservoirprotocol,Reservoir Protocol,39939245,73.68456370231222
IEB9thzZmy4HLiqldjcssupHFgjHGN/HSF2I4HBQGmo=,holdstation,Holdstation,39174738,0.2334564855372472
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,hyperlane-xyz,Hyperlane,31203886,3.984879853177322
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,balancer,Balancer,27372754,0.3259558988918718
8b2HLnQ2tYAjtu/DfLbp665a/JtmiU/ZBBxW0+ZStiA=,morpho-org,morpho-org,26921805,1.4035844476256572
RtKY/jR/ZQZcFZ3+6BIol7NCIenNffgO59/55hceklc=,opensea,OpenSea,26038953,0.8417671111137612
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,safe-global,Safe,19927460,6.019071742091772
v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,sushi,Sushi,19741878,2.2714394552907726
6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,lifinance,LI.FI,19316530,8.08931140003832
1W3Lrl4fW0q/uQzqEvLBU+/jsKT3YQfP9OA89ZY0gXo=,tarot-finance,Tarot Finance,18417637,2.977409332285135
7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,pyth-network,Pyth Network,17628712,1.5253831266472802
yBTsqg28U+BoAz6n48dJzWbCDuQGBnsZ1srW1qhIJ10=,sake-finance,Sake,16479776,0.48092047029413654
5TUMW7BunipNIyPtlxBlNbrCHFMH4sRoMuly6BLtj44=,sonex,Sonex,16278597,0.5631390154899106
f0ViLPH52qYlD4KiwHpElzx60i+1cXavyYjlA6MEDh0=,pinto-org,Pinto Protocol,15045793,0.3978635612344547
LCI8TFIFGUudioEaZRR/WH6nLRppA/hazF5JKlZUil8=,superfluid,Superfluid,14510535,0.22210481933871504
8F71TphcQ+H6xUIi4Wgy77x8FmEKiV2lkhO7bpWlxU0=,avantis-labs,Avantis,13823622,0.23266970169509663
6cfML/aR2XzMajfyvArr6fYfmX3qELY6+KGqVuv1hm4=,maverickprotocol,Maverick,12488750,0.39832393603539784
Gt+ncr+qgCNGFMLqTHhFgGb2VEptwvo3jsiTvtd8fnE=,inkonchain,InkOnchain,10626994,1.4457942118969167
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,third-web,thirdweb,10439520,5.801628743079974
hMNrmX7nfpMimNe0zQmqdkZVy4PrhU3MIliN9gVR9y0=,baseswapfi,BaseSwap,10200300,5.6233684704686615
h650Z9M0g9b9eEREc+Hoo5gLiHYGHPV8HTnHz6HeDJE=,layer3xyz,Layer3,9750058,5.9708324787225635
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,across,Across,9548622,9.008583128476772
fba6SXRqy1wsgDBB/zHIZcQpBon7em6n2ntaHq5J29c=,brahma,Brahma,9387597,0.19348405562710808
0wTetcgdAs7+boj3ROTnd7BiHXTxK1oGU3haIFFyc4s=,odos-xyz,Odos,9082366,13.104291000657161
k51QTl16C/ZunIrGFIMHwuqxXmJO0qugcFKfmR0AGh0=,moonwell-fi,Moonwell,8097050,1.4035507508163205
qRMDRovBgcYS7aEaZWErA7bhJsU0YOjbEZkp3GNi5ss=,gainsnetwork,Gains Network,7175375,3.5252995003523613
Db8NOUJfbffKFKzkzQogIQiTfagCXS7WMOn+kkq6mN8=,kyber-swap,KyberSwap,6653676,46.73801027862878
WgjraPoKVNdchRZE5M3rAFSPPceQ/Ez++PtNJoj9mJs=,alienbase-xyz,AlienBase,6177698,0.9140776828703179
L1FGc2AIMWcbDulPkpgzndWnljElZEAxxr+jPOdn0WQ=,synthetix,Synthetix,5585158,6.897100681222615
ZzH9XQNZ7nWOlugpkz8GaQQEmQzx1rKxaPrvhJ+l87Y=,ionicprotocol,Ionic Protocol,5578907,0.15186207145419894
/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,wormhole,Wormhole Foundation,5531622,0.4932762696307062
obhZmsogKPwIoJqhhqsTg2tpVPoLJYjA5mOUzEKtSLs=,curve,Curve,5313618,0.24385792549456348
SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,woonetwork,WOO Network,5021048,0.17321179921757315
cKV5yAmptkrG53RQ+vd6UrIQLLlm7hILNJMpDPYmQV8=,equalizer-finance,Equalizer Finance,5018120,0.17440137560930558
T2xZjonGPoP/QQ01b+/cISxQOkeJVwiFZrULwNUiA8s=,ftm1337-equalizer,ftm1337-equalizer,5018120,0.17440137560930558
6tRI41WccHRSn85VxRLq9FTwuTPfR7oslGsx9BoVFdY=,javsphere,Javsphere,4792334,8.802842519931986
IC4gXIZe/sWGrV5sOyeoSlqkS7t4BZd40afZT+2Q7bA=,beefy-finance,Beefy Finance,4070372,0.4371720037381804
hYiG7idYm2fXSbbrUGZkbSHUTE74718u6TDZCbxWRT8=,rubyscore,RubyScore,4057627,1.1271181419895306
EYDF5QIkYRJ0G5JOMXy6vw4PVs0Kx3HhiT6Bk6hJp4U=,adrastia-oracle,Adrastia Oracle,3859974,1.2560220870854963
As9H82L8UoJzE97yMeP4TbewafniYHdvyC68sIc/NlA=,createx,CreateX,3683180,7.159433157047506
NgP0Wx6bYjRNFem2uqgwQDgI7uEir12R/KBBDSHZBzY=,farcasterxyz,Farcaster,3657951,0.313527477477029
2Ie3pEkBr3DrOo3nMSfWQt4EuX4qLHGCpWQ9Us5cLys=,magpiexyz,Magpie,3568897,2.344301362254475
dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,metamask,Metamask,2976404,5.614401131160607
c/dKIiJnIKIxWPUPaAC30nS/TmqojvpagHXzV2L6td8=,pendle-finance,Pendle,2952414,0.44061615590612213
1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,socket,Socket,2940444,1.8791830331698125
u/Jwxrdh277DkI1lqogg3xElDMitlh5ONLjtgeswbR4=,sonusexchange,Sonus Exchange,2631873,0.9076900425215756
Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,1-inch,1Inch,2581405,36.00229404224223
4iXU/Dlz1CBdUGyuiUP6IiMJtBR+GKUn1tkbSSLOGQQ=,manifold,Manifold,2425129,1.313245191206283
v2QgByGF4okeRHMJmWN3tqZMxciee/qI2eeSPKK19gk=,axelar,Axelar,2099978,0.6456597908707177
6W8Z79vNTFVXH6minIPAhAZ7I5YHMDq9hgEkufjDz+Q=,untitled-bank,Untitled Bank,2084450,0.14380910186780554
VGUIq4rEXtAwcesetQyta4todTNXTpvpfHvczoJu0EQ=,polynomial-protocol,Polynomial Protocol,2022138,0.13283929626316343
UJz9GfXZ49dOu2un0ifpPr1qvdOEhchBeaKxNMsx6TY=,basepaint,Basepaint,2021020,0.24117909514250152
YmNg07FUN1wtq/iVOviQ90GA+WW5MY6UtBWgxc1f+TE=,openocean-finance,OpenOcean,1954880,1.3182851820667372
WgB1eucf6VjOlWWpAcy1UDnSesBuFdaIQ8jV/LXsGY8=,stvol-official,SuperVol,1888486,0.5484448763512095
QRGO1/VAXWrWRkd4pGm6dB3z18Us20PKOXCottNt3pA=,arks-labs,Cygnus Finance,1869347,0.6725523627273218
ngBRwzug+4yZnN2uE1wfoLeIsHQy9coImbvxkwYxfmk=,flayerlabs,Flayer (Flaunch),1841805,0.49905282884624674
PCuBi0AunZbM9RokjCH3on5O9Gz+ixkNQFpaxZA9zrY=,sparkdotfi,Spark Foundation,1793210,0.10125278100386748
ziS9zVwL0wejwpRl3exXS/sPkVTxes5OeRkH1buQ4Y4=,perpetual-protocol,Perpetual Protocol,1781489,1.9569141928637634
FVz+zWMYy5fkiZqkq9A2jtkExDmMRx9DLe6A/X+BGFU=,eywa-protocol,EYWA Protocol,1741948,0.7466977135701873
bnzwxyhCMzIG0ZOZOoDMEX2euxER7M/6hOePSsnlVR0=,morphex-labs,MorpheX,1640513,0.6548020123660923
jcUDyxHNXWzjYk5a/zXuShEfIvBto8zfQ0k8Q8BMpao=,moxie,Moxie,1553626,0.2588001072497909
Zy6ZHnI5FaGA6G9Pm0+DxqvFg3pcni2pcNqd6VPbsG8=,stargate-finance,Stargate Finance,1443555,0.7864136111268022
vxfuMKOqr5P/diHWK8fIMNXwoXALFMtJSWVWiQHqS/8=,daimo-pay,Daimo Pay,1183570,0.3117148398213242
6UcWU7xwFGmSZ5UkcW2HE2zl+oj1pxP8yxX4xn1t+ko=,debridge-finance,deBridge,1165772,10.178860036188599
Te2nZaFW2M/6DMbfuJE3J0ahxI8d+hHBZa6GyGeq7E8=,unimon-alma-labs,Unimon,1085031,1.061089193448404
ZkserrBnjmtmFrLF/9lXQKv6yiqc078kVnv+qdd2fCU=,nfts2me,NFTs2Me,1048826,0.6795786704919238
ri0h1baaaDcbJFS5nLgtGQYdeBlpsviqlTG24K/HfcA=,ogs-base,onchain gaias,1031544,0.8221921347513609
wAHrubVV5dj+GrIz0KtzD1XqwA2MmyGmfUw74ZWFkYU=,steer-protocol,Steer Protocol,981014,0.23753683802356373
HG82ZJgWrvt0Nq2de4DtXoNFMaCv22KSY72BQs6+bNc=,extra-finance,Extra Finance,943398,1.1655450175304667
vljVm2wFJVTJOn83aGy7H8E+sXB4bjOfc2JAyCM/unI=,poopzter,Poopzter,902462,0.10316259418091742
lY3hN7xGe8jTGb9c9z2Sa6r2PmBV+FG9WJmC8Xwe46s=,seamless-protocol,Seamless Protocol,874173,0.1638283835999978
fHqtzjjFUIWmBZyZ3AAjjo7JPFRrTW4B3EvYGLVV3lY=,phi-labs-inc,PHI-LABS-INC,779294,0.6970806702625896
VCeNot3diK3Kt0Da9SaRDvcNI1sGdrzyjTW62JUeI0U=,rabbithole,Boost Studios,747512,0.19013441089995203
wjdEPix6VRVD146SVbP4jwppF24Ji4CqkBq4zv+8hpw=,owlto-finance,Owlto Finance,689224,0.3015837484823329
DAKNlx8x6JVgEmTpJrfW2/iQj5FAk7mCIsXMt6h1jw0=,superchain-safe-protofire,Superchain Safe,675847,0.18545055424501783
LwtDC39OJgJjYwFAbn/kDkKJgaxSy6Rezg+lQhBAbMQ=,gammaswap,Gamma Swap Labs,654362,0.17553465650321362
eid5gZ3mC0JHbMYg33dvcofcqwp2cvkhO3LZAt8fl7A=,angle-protocol,Angle Protocol,647348,0.4459777211978354
ec9PEUQwIfXCq7fpDHA2JwxwoxTgF+8o62D67ixlTbM=,compound-finance,Compound,628357,0.2095160495434037
KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,ethereum-attestation-service,Ethereum Attestation Service,586741,0.3546643235849448
UFXNRBcMQFR5sO8mg3+DC5YIMeVl8+vAc6Mv/BxIlsQ=,superform-xyz,Superform,583873,0.7452705354079537
Q3otD2dVMuz3OUvC1yAKkIrl9KIt8ksR1rOXG/vLvfI=,orbiter-finance,Orbiter Finance,563776,0.24884804702291247
rU5cF8xxSnfmw0tq9VCl33LJXFCXqQVzqAWnWN9iWnw=,synapse,Synapse,563216,0.38649987162298394
GaSafIT+0c0Ser5z+X+L/kks0foxsv7C37sbJY3IOM8=,gammastrategies,Gamma Strategies,560042,1.837854794045811
V9cLpIkU/z1qoFKorpO0P/HNgBI37ZexTmGZpHGUA1c=,arcadia-finance,Arcadia Finance,545664,2.1374101843376723
iaCxomKbziHx/iiLlm9VAiA7rBKvS2KVUXZm9hL2hh8=,coop-records,Coop Records,540134,0.4010465553612741
CbRyy79gatzGD0GyjO3wI5+BCx+1bVF7fTLBhwzxUoE=,symbiosis-finance,Symbiosis Finance,532177,0.3661970337165975
lYvFssRjPhqMZ93b3k2cx7poinUlSVwdy4KyZv6pIdc=,daobase-ai,DAOBase,519693,0.29210521644486054
