onchain_builder_project_id,devtooling_project_id,dependency_source
v2QgByGF4okeRHMJmWN3tqZMxciee/qI2eeSPKK19gk=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
L1FGc2AIMWcbDulPkpgzndWnljElZEAxxr+jPOdn0WQ=,R04wCZhk2yd96qDs1j6TL2jMhi5toVCbetozykh0ojA=,NPM
rU5cF8xxSnfmw0tq9VCl33LJXFCXqQVzqAWnWN9iWnw=,R04wCZhk2yd96qDs1j6TL2jMhi5toVCbetozykh0ojA=,NPM
ZULPOm38w6Kwc/Om0NCML9/MNUoOVoMzo1krXg0N62U=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
wjdEPix6VRVD146SVbP4jwppF24Ji4CqkBq4zv+8hpw=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
ngBRwzug+4yZnN2uE1wfoLeIsHQy9coImbvxkwYxfmk=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
k2yKacP1bWm7Kb+gqwS+X3TUSPr/fk406J7H+MdgO+Q=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
RtKY/jR/ZQZcFZ3+6BIol7NCIenNffgO59/55hceklc=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
