project_id,display_name,project_name,chain,metric_name,sample_date,measurement_period,amount
gUFAlmQjlPwJ47EfIYcW8OScZ5iHFZBD/TE4Mhx9WQc=,Party.app + Party Protocol,0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,ZORA,transactions_monthly,2025-02-01,Feb 2025,2297.0
tnIsq+BWiIkXbY18UI8L609BBs89EO4o+MJ3+hmFsAA=,Amazing Hunt,0x9e50828e261179c6d1a5c107c7c2c16907b4b529fef416f64af781c5b2ff29d1,OPTIMISM,transactions_monthly,2025-02-01,Feb 2025,32.0
/2hjsm9xH1NvgIs/dHx5VOVM4ml/C6hfQu97wBgdpfo=,Diffuse Data Feeds,0xd35cc78b456bf11d4acc96d2c227b29fa4115ad9d93ae211a31974a408ed8303,OPTIMISM,transactions_monthly,2025-02-01,Feb 2025,12.0
b7muW3E2hHlOFEZs7c+McXNU+W3S2DAxZdpAKlO4xgA=,Collectr,0x8425bbc8232af955e04d40e708e489a37826ea0d503951368cb8fb8f489bdf14,BASE,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,79.5
dk1gwy0G/dP9SOcyolL+bfgPQJ0ngqXF6ro9qyQdGwo=,Air3,0xf9ebb0464e7162627ab3de5fe03a21c879e932233e1453f2139c2126eb93f72e,MODE,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,112.0
iNNzyDb1b6aPQ291ha6SmzQdeiZctC/fFM3CohvMmXI=,JOOCE,0xdce84cb69d195ad28d7dcf878c7b43b284b7f5c2d2df5c0bc0f1e6d486bad786,BASE,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,1528.0
ZpLND65a7Iy7VJrIjdjCjrQzAFi4JaJpkYeg3DJlrsE=,Layer3,0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,BASE,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,475595.5
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,zkCodex,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,LISK,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,215.0
fUkDvtE6aGHLHs9dfhp8rzhhzh7uintrSaO61/OVooU=,Smellcheckmate,0x2cb7fb23e5d066f65a80a09b2eab34d76bbac06de1af16c31dcf2e54119639c3,OPTIMISM,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,3.0
igtO7r3BNEsM8PUwfeWPGcua331z+/D8tlSWUxIWqB4=,Metopia,0xfa43f3b12992a9d3d7811ac876c9baa5a81bf9775abfc605e720ec0a90f67786,MINT,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,239.0
rma7MMHG/lTDVRVzmvzpjLEe1IgskM2w9Ne7AQvE1q4=,Pheasant Network,0x2d5167181143298e3d002d318d8b1d2917b8c3205a5634549c95cab0ff32cbdf,BASE,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,444.0
57FvWwsyNX2cCoYXRlrD084qD9kG/nh1tYNWPswNSs0=,Router Protocol,0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6,BASE,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,22554.0
FtR3yU/WmvB77sgIAosTTO8ZpYKa4lUQU9iXu5XQjWI=,The Button,0xe2ef3fbfd10df401a0221939359e96af29805db8936c1199ae7532262c69ec5f,WORLDCHAIN,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,54106.0
FT3wZj26UAebMH4ywu7oQvrie1GQSmu9aogl40bsCWQ=,CreateX,0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3,FRAX,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,801.0
VsbnIqH0Z8ErW7VixsMTGcLVf45E645bcxAVcD/KZT0=,Aave,0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754,OPTIMISM,amortized_contract_invocations_monthly,2025-02-01,Feb 2025,123997.0
sMEYAIHyC7RMbAjCcImJti3PrNJCoQPycDnIfVBvxiI=,RubyScore,0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373,ZORA,active_farcaster_users_monthly,2025-02-01,Feb 2025,667.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,OnChainGM,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,ZORA,active_farcaster_users_monthly,2025-02-01,Feb 2025,734.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,OnChainGM,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,UNICHAIN,active_farcaster_users_monthly,2025-02-01,Feb 2025,920.0
JTetyUvTgu3P3fKekPJHOjCG1Uuv2TfuDHm9hjADzPM=,Hop Protocol,0x149bc5c396fd3dccac39c92164bb6b8bccc4d215321b58e241af07a76616e031,BASE,active_farcaster_users_monthly,2025-02-01,Feb 2025,383.0
mhxWxydhNFmIpTtHIvHRZ6Zg6ZrSC2uQhAgTJnu6CB0=,Neptune Finance,0x469f813ce1b0c64293d1f884363808f076d27abc8c6060bd3abe46bedd0d7982,SWELL,active_farcaster_users_monthly,2025-02-01,Feb 2025,75.0
rnCU69afAeJVsln1gXM1Pt6cMqD09FFS5C8Q38NWifM=,Passport XYZ | Gitcoin Passport,0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d,SHAPE,active_farcaster_users_monthly,2025-02-01,Feb 2025,74.0
CFKotAGe0czMhAGy94iDJA4xQ48OLiKDZ9SfTsWvutE=,BaseSwap ,0xca3f26e1c876e821d2384a5cb699c6be494f9810301c2e2be49c232656262642,BASE,active_farcaster_users_monthly,2025-02-01,Feb 2025,27886.0
f9XY1drAwGvq0ipsMBC3S+hi/BnAOW9s7YSx7LA0qq8=,Larry,0x1d3ec77661554ddaeab18519930b218ba5185016a0e770ce4664a831a1eef7f4,BASE,active_farcaster_users_monthly,2025-02-01,Feb 2025,61.0
VTFjeAN76kGnqTqKP+SMe2HPaIKY3wKvwo613l6OWN0=,pods.media,0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e,OPTIMISM,active_farcaster_users_monthly,2025-02-01,Feb 2025,21.0
1JT70BN2/Rwx6aSj0KsAtMwm544c8iMGSkvndKJTFZ4=,TapBase,0x7fe1f445a110236c7355b3abb2d7fe8c02e32f400253b9b134ad6ab7afc0f6fc,BASE,active_farcaster_users_monthly,2025-02-01,Feb 2025,16.0
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,LI.FI,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,LISK,active_farcaster_users_monthly,2025-02-01,Feb 2025,2346.0
dk1gwy0G/dP9SOcyolL+bfgPQJ0ngqXF6ro9qyQdGwo=,Air3,0xf9ebb0464e7162627ab3de5fe03a21c879e932233e1453f2139c2126eb93f72e,FRAX,active_farcaster_users_monthly,2025-02-01,Feb 2025,9.0
ZpLND65a7Iy7VJrIjdjCjrQzAFi4JaJpkYeg3DJlrsE=,Layer3,0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,ZORA,active_farcaster_users_monthly,2025-02-01,Feb 2025,157.0
fUkDvtE6aGHLHs9dfhp8rzhhzh7uintrSaO61/OVooU=,Smellcheckmate,0x2cb7fb23e5d066f65a80a09b2eab34d76bbac06de1af16c31dcf2e54119639c3,OPTIMISM,qualified_addresses_monthly,2025-02-01,Feb 2025,1.0
FtR3yU/WmvB77sgIAosTTO8ZpYKa4lUQU9iXu5XQjWI=,The Button,0xe2ef3fbfd10df401a0221939359e96af29805db8936c1199ae7532262c69ec5f,WORLDCHAIN,qualified_addresses_monthly,2025-02-01,Feb 2025,8671.0
57FvWwsyNX2cCoYXRlrD084qD9kG/nh1tYNWPswNSs0=,Router Protocol,0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6,BASE,qualified_addresses_monthly,2025-02-01,Feb 2025,1688.0
FT3wZj26UAebMH4ywu7oQvrie1GQSmu9aogl40bsCWQ=,CreateX,0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3,FRAX,qualified_addresses_monthly,2025-02-01,Feb 2025,2.0
VsbnIqH0Z8ErW7VixsMTGcLVf45E645bcxAVcD/KZT0=,Aave,0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754,OPTIMISM,qualified_addresses_monthly,2025-02-01,Feb 2025,2742.0
igtO7r3BNEsM8PUwfeWPGcua331z+/D8tlSWUxIWqB4=,Metopia,0xfa43f3b12992a9d3d7811ac876c9baa5a81bf9775abfc605e720ec0a90f67786,MINT,qualified_addresses_monthly,2025-02-01,Feb 2025,78.0
rma7MMHG/lTDVRVzmvzpjLEe1IgskM2w9Ne7AQvE1q4=,Pheasant Network,0x2d5167181143298e3d002d318d8b1d2917b8c3205a5634549c95cab0ff32cbdf,BASE,qualified_addresses_monthly,2025-02-01,Feb 2025,23.0
FtR3yU/WmvB77sgIAosTTO8ZpYKa4lUQU9iXu5XQjWI=,The Button,0xe2ef3fbfd10df401a0221939359e96af29805db8936c1199ae7532262c69ec5f,WORLDCHAIN,worldchain_events_monthly,2025-02-01,Feb 2025,54105.0
VsbnIqH0Z8ErW7VixsMTGcLVf45E645bcxAVcD/KZT0=,Aave,0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754,OPTIMISM,account_abstraction_userops_monthly,2025-02-01,Feb 2025,84.0
b7muW3E2hHlOFEZs7c+McXNU+W3S2DAxZdpAKlO4xgA=,Collectr,0x8425bbc8232af955e04d40e708e489a37826ea0d503951368cb8fb8f489bdf14,BASE,contract_invocations_monthly,2025-02-01,Feb 2025,102.0
iNNzyDb1b6aPQ291ha6SmzQdeiZctC/fFM3CohvMmXI=,JOOCE,0xdce84cb69d195ad28d7dcf878c7b43b284b7f5c2d2df5c0bc0f1e6d486bad786,BASE,contract_invocations_monthly,2025-02-01,Feb 2025,1981.0
ZpLND65a7Iy7VJrIjdjCjrQzAFi4JaJpkYeg3DJlrsE=,Layer3,0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,BASE,contract_invocations_monthly,2025-02-01,Feb 2025,475877.0
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,zkCodex,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,LISK,contract_invocations_monthly,2025-02-01,Feb 2025,215.0
dk1gwy0G/dP9SOcyolL+bfgPQJ0ngqXF6ro9qyQdGwo=,Air3,0xf9ebb0464e7162627ab3de5fe03a21c879e932233e1453f2139c2126eb93f72e,MODE,contract_invocations_monthly,2025-02-01,Feb 2025,112.0
zpXh+xI4A77C9Y/ortXA0jU/33Zj+QztUOpW3hJ+w8A=,L2Pass,0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,OPTIMISM,contract_invocations_monthly,2025-02-01,Feb 2025,552.0
JvriFQ0NlFxB3+GIDPJQShc9f52TRc/cmOcLdzUPgL4=,Rainbow (Rainbow Router),0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,BASE,contract_invocations_monthly,2025-02-01,Feb 2025,46395.0
0IoaqfH0mkl61jIvWC/JWobbYPP2gn9rTTSuF2/Ydew=,Layerswap,0xafca3591b83586f14e21b397135b95af668f5ebb54cb45053af44a73df7d7640,LISK,contract_invocations_monthly,2025-02-01,Feb 2025,1696.0
hle+N3YM5tghdfpBxLGwU6k4Bo8wDYIbcCehL36wclE=,Mintify,0xb41e32621e56fbe7d89052f3c852ff70c6bfe21ba5a91910ef2fd548eb6e4e8a,BASE,contract_invocations_monthly,2025-02-01,Feb 2025,150.0
XLvkdswVcDHS98ET9dfOceXRGZFTzV/dYrPUB8DA2Bc=,Sonus Exchange,0x96767e87a27cdb9798f40c3a6fd78e70da611afe53a5e45cbaafc50cae4ad0e7,SONEIUM,contract_invocations_monthly,2025-02-01,Feb 2025,248929.0
5JISU2Dd3upAAQxpI6eEKNuI/pWdKGu5Z36klLtZvXc=,Meson Finance,0xdc28e29764ca79368f426f106458f2c427392e32d088b04f4c372ab51b25d2cf,BOB,contract_invocations_monthly,2025-02-01,Feb 2025,1269.0
2d1UftVv4xC+BHialsxoPjC1WJDySvOpnH9o+3sQFYc=,rhinofi,0x85bef37b528ec9d7e1a9cb864e298e3c117071507acd3f522c28561435d167f5,BASE,contract_invocations_monthly,2025-02-01,Feb 2025,20436.0
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,LI.FI,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,INK,contract_invocations_monthly,2025-02-01,Feb 2025,61.0
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,zkCodex,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,MINT,contract_invocations_monthly,2025-02-01,Feb 2025,61.0
hD0YqnPkTkll8Q5jDDldaT6hXIYPwjtTsnR2B5cF6Dw=,Womex,0xf8e1a0a465eb42239f0c15651c658cd25e922880a3b5714949804034c57ace41,BASE,contract_invocations_monthly,2025-02-01,Feb 2025,1075.0
