project_id,project_name,display_name,total_transaction_count,total_gas_fees
FVz+zWMYy5fkiZqkq9A2jtkExDmMRx9DLe6A/X+BGFU=,eywa-protocol,EYWA Protocol,7996454,21.502418638648926
8b2HLnQ2tYAjtu/DfLbp665a/JtmiU/ZBBxW0+ZStiA=,morpho-org,morpho-org,7864757,15.796118820698418
vnYwvqKeR+v3cXdSvJw/4OE/q4eE0/mE/LG1+42b/m4=,supswap,Supswap,7611681,0.7243949736788335
u/Jwxrdh277DkI1lqogg3xElDMitlh5ONLjtgeswbR4=,sonusexchange,Sonus Exchange,7372849,74.1295853661317
1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,socket,Socket,7359329,7.717499877966819
qRMDRovBgcYS7aEaZWErA7bhJsU0YOjbEZkp3GNi5ss=,gainsnetwork,Gains Network,7114360,37.795401092480695
fba6SXRqy1wsgDBB/zHIZcQpBon7em6n2ntaHq5J29c=,brahma,Brahma,7085613,0.4165883571124225
ziS9zVwL0wejwpRl3exXS/sPkVTxes5OeRkH1buQ4Y4=,perpetual-protocol,Perpetual Protocol,6831354,81.1212381844007
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,third-web,thirdweb,6336636,1526.0073652172398
6W8Z79vNTFVXH6minIPAhAZ7I5YHMDq9hgEkufjDz+Q=,untitled-bank,Untitled Bank,6209525,31.158429586461608
Db8NOUJfbffKFKzkzQogIQiTfagCXS7WMOn+kkq6mN8=,kyber-swap,KyberSwap,5796827,92.37808046429174
sGdBdgiGXTwGTHxxZkgiHM1uUXxR80Rqqr/ydqUHqdY=,synfutures,SynFutures,5550565,6.203002768386971
f0ViLPH52qYlD4KiwHpElzx60i+1cXavyYjlA6MEDh0=,pinto-org,Pinto Protocol,5308681,13.640088369255881
dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,metamask,Metamask,4697067,101.85307763529221
yDBZBlZNOKgZqrEcC6kcQwynxKYvH0+mTQMLs55VlBI=,solidly,Solidly Labs,4680984,0.6034138645941318
IC4gXIZe/sWGrV5sOyeoSlqkS7t4BZd40afZT+2Q7bA=,beefy-finance,Beefy Finance,4678449,3.1369444316369153
v2QgByGF4okeRHMJmWN3tqZMxciee/qI2eeSPKK19gk=,axelar,Axelar,4632151,24.91304027913948
