project_id,project_name,display_name,total_transaction_count,total_gas_fees
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,aerodrome-finance,Aerodrome Finance,1199159265,226.57075491873306
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,velodrome,Velodrome,546379857,12.025150034738505
AAhkBpzlnA5y0kvoCAEDtJoqf+ItxsbGkwYOa0RRmX0=,circlefin,"Circle Internet Financial, LLC.",452540074,122.55867503345671
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,uniswap,Uniswap,432413064,403.0775517076737
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,xen-crypto-faircrypto,Xen Crypto,234961815,18.342157964989813
1tglFLCPO1i0woe4TW7pBm1iMqrhlWJ1cv2L/5b0VUk=,eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction,202998762,488.1776561744383
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pancakeswap,PancakeSwap,142005482,9.398578938041142
jhTJFpXpZUW/tw3mSJcZqgAZPsspzU6QyDYEb+bxe+0=,kyo-finance,Kyo Finance,75362793,11.344444728309716
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,virtual-protocol,Virtuals Protocol,74312477,15.099872998289916
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,zora,Zora,65278532,15.827212073184404
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,aave,Aave,55792887,6.858102083772386
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,layer-zero,LayerZero,48031616,4.190379797840828
iwWa+M1zV0b5P/oF7SOTjZCXO312To8Vn/msNumIXUo=,stackup,Stackup,46112121,335.4916803820802
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,dexalot,Dexalot,46023618,4.081978424382363
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,reservoirprotocol,Relay,44221781,112.94736885170428
8b2HLnQ2tYAjtu/DfLbp665a/JtmiU/ZBBxW0+ZStiA=,morpho-org,Morpho,43045799,1.9871877879135562
IEB9thzZmy4HLiqldjcssupHFgjHGN/HSF2I4HBQGmo=,holdstation,Holdstation,41643910,0.23351386595354978
RtKY/jR/ZQZcFZ3+6BIol7NCIenNffgO59/55hceklc=,opensea,OpenSea,37756216,1.19148822653414
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,hyperlane-xyz,Hyperlane,33263016,3.9848798531773206
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,balancer,Balancer,31643645,0.7431057947303199
f0ViLPH52qYlD4KiwHpElzx60i+1cXavyYjlA6MEDh0=,pinto-org,Pinto Protocol,21205493,0.39786356123445465
8F71TphcQ+H6xUIi4Wgy77x8FmEKiV2lkhO7bpWlxU0=,avantis-labs,Avantis,20258323,0.49697484139542386
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,safe-global,Safe,19927474,6.019137207287541
v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,sushi,Sushi,19741878,2.2714394552907677
6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,lifinance,LI.FI,19316530,10.092050294782087
1W3Lrl4fW0q/uQzqEvLBU+/jsKT3YQfP9OA89ZY0gXo=,tarot-finance,Tarot Finance,18867481,2.977409332285135
7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,pyth-network,Pyth Network,18390305,1.6615285882105335
yBTsqg28U+BoAz6n48dJzWbCDuQGBnsZ1srW1qhIJ10=,sake-finance,Sake,17971950,0.6518353421150322
5TUMW7BunipNIyPtlxBlNbrCHFMH4sRoMuly6BLtj44=,sonex,Sonex,16278597,0.6662902363876362
LCI8TFIFGUudioEaZRR/WH6nLRppA/hazF5JKlZUil8=,superfluid,Superfluid,14747449,1.1269856115003223
6cfML/aR2XzMajfyvArr6fYfmX3qELY6+KGqVuv1hm4=,maverickprotocol,Maverick,13279394,0.4436161684394277
k51QTl16C/ZunIrGFIMHwuqxXmJO0qugcFKfmR0AGh0=,moonwell-fi,Moonwell,12080690,1.980981308782295
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,third-web,thirdweb,10715820,8.228447218624193
Gt+ncr+qgCNGFMLqTHhFgGb2VEptwvo3jsiTvtd8fnE=,inkonchain,InkOnchain,10626994,1.4457942119005536
hMNrmX7nfpMimNe0zQmqdkZVy4PrhU3MIliN9gVR9y0=,baseswapfi,BaseSwap,10200300,5.623368470468697
0wTetcgdAs7+boj3ROTnd7BiHXTxK1oGU3haIFFyc4s=,odos-xyz,Odos,10067880,13.241876760450445
h650Z9M0g9b9eEREc+Hoo5gLiHYGHPV8HTnHz6HeDJE=,layer3xyz,Layer3,9750058,5.970832478722487
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,across,Across,9548622,9.008583128476754
fba6SXRqy1wsgDBB/zHIZcQpBon7em6n2ntaHq5J29c=,brahma,Brahma,9387597,0.2143989553348512
Zy6ZHnI5FaGA6G9Pm0+DxqvFg3pcni2pcNqd6VPbsG8=,stargate-finance,Stargate Finance,8903828,2.7910281628947478
/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,wormhole,Wormhole Foundation,8819593,0.8557318718496186
NgP0Wx6bYjRNFem2uqgwQDgI7uEir12R/KBBDSHZBzY=,farcasterxyz,Farcaster,8247963,0.4749120443189733
WgjraPoKVNdchRZE5M3rAFSPPceQ/Ez++PtNJoj9mJs=,alienbase-xyz,AlienBase,7637558,0.9140776828703182
Db8NOUJfbffKFKzkzQogIQiTfagCXS7WMOn+kkq6mN8=,kyber-swap,KyberSwap,7525425,46.73801027862874
qRMDRovBgcYS7aEaZWErA7bhJsU0YOjbEZkp3GNi5ss=,gainsnetwork,Gains Network,7175375,6.635850057854878
L1FGc2AIMWcbDulPkpgzndWnljElZEAxxr+jPOdn0WQ=,synthetix,Synthetix,6571211,6.897100681222613
ZzH9XQNZ7nWOlugpkz8GaQQEmQzx1rKxaPrvhJ+l87Y=,ionicprotocol,Ionic Protocol,5578907,0.15186207145419886
SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,woonetwork,WOO Network,5322959,0.8318537375822332
obhZmsogKPwIoJqhhqsTg2tpVPoLJYjA5mOUzEKtSLs=,curve,Curve,5313618,0.2847918174884823
cKV5yAmptkrG53RQ+vd6UrIQLLlm7hILNJMpDPYmQV8=,equalizer-finance,Equalizer Finance,5018120,0.17440137560930555
T2xZjonGPoP/QQ01b+/cISxQOkeJVwiFZrULwNUiA8s=,ftm1337-equalizer,ftm1337-equalizer,5018120,0.17440137560930563
6tRI41WccHRSn85VxRLq9FTwuTPfR7oslGsx9BoVFdY=,javsphere,Javsphere,4792334,8.80980537129583
2Ie3pEkBr3DrOo3nMSfWQt4EuX4qLHGCpWQ9Us5cLys=,magpiexyz,Magpie,4700175,2.387365506543814
