project_id,project_name,display_name,total_transaction_count,total_gas_fees
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,aerodrome-finance,Aerodrome Finance,1070171799,226.5707549187331
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,velodrome,Velodrome,509952881,12.025150034738507
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,uniswap,Uniswap,432413035,403.07680513720095
AAhkBpzlnA5y0kvoCAEDtJoqf+ItxsbGkwYOa0RRmX0=,circlefin,"Circle Internet Financial, LLC.",371218132,119.11356916532847
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,xen-crypto-faircrypto,Xen Crypto,234961815,18.342157964989813
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pancakeswap,PancakeSwap,136636947,9.398578938041142
jhTJFpXpZUW/tw3mSJcZqgAZPsspzU6QyDYEb+bxe+0=,kyo-finance,Kyo Finance,75362793,11.344444728309707
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,virtual-protocol,Virtuals Protocol,66208358,15.099872998289902
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,zora,Zora,58227749,15.827212073184405
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,aave,Aave,55792887,6.858102083772398
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,layer-zero,LayerZero,48031616,4.190379797840827
iwWa+M1zV0b5P/oF7SOTjZCXO312To8Vn/msNumIXUo=,stackup,Stackup,46112118,335.4916803199534
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,dexalot,Dexalot,46023618,4.0819784243823625
1tglFLCPO1i0woe4TW7pBm1iMqrhlWJ1cv2L/5b0VUk=,eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction,45917337,390.5086986509888
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,reservoirprotocol,Reservoir Protocol,44221781,112.9473688517042
IEB9thzZmy4HLiqldjcssupHFgjHGN/HSF2I4HBQGmo=,holdstation,Holdstation,41643910,0.2335138659535498
8b2HLnQ2tYAjtu/DfLbp665a/JtmiU/ZBBxW0+ZStiA=,morpho-org,Morpho,40883696,1.987187787913556
RtKY/jR/ZQZcFZ3+6BIol7NCIenNffgO59/55hceklc=,opensea,OpenSea,37756216,1.19148822653414
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,balancer,Balancer,31643645,0.7431057947303203
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,hyperlane-xyz,Hyperlane,31203886,3.9848798531773206
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,safe-global,Safe,19927469,6.019083499734943
v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,sushi,Sushi,19741878,2.2714394552907673
f0ViLPH52qYlD4KiwHpElzx60i+1cXavyYjlA6MEDh0=,pinto-org,Pinto Protocol,19352371,0.39786356123445465
6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,lifinance,LI.FI,19316530,10.09205029478206
8F71TphcQ+H6xUIi4Wgy77x8FmEKiV2lkhO7bpWlxU0=,avantis-labs,Avantis,18922723,0.4969748413954239
