project_id,project_name,display_name,total_transaction_count,total_gas_fees
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,aerodrome-finance,Aerodrome Finance,1144650587,1643.9331990688706
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,uniswap,Uniswap,386119726,3901.9937299153726
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,velodrome,Velodrome,275538286,182.69249092007317
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,xen-crypto-faircrypto,Xen Crypto,204590179,11009.503287615124
cfmwZDvctHcadAj22c5ryMVMY+DoYwU6xVsCPRwFuec=,gfx-labs,gfx labs,196531912,2554.6194467502837
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,virtual-protocol,Virtuals Protocol,121864201,294.20253933377063
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pancakeswap,PancakeSwap,106960021,48.488817661124
jhTJFpXpZUW/tw3mSJcZqgAZPsspzU6QyDYEb+bxe+0=,kyo-finance,Kyo Finance,102148325,116.81574217681265
iwWa+M1zV0b5P/oF7SOTjZCXO312To8Vn/msNumIXUo=,stackup,Stackup,72032764,1240.948799067906
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,layer-zero,LayerZero,66690141,26.783876889780032
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,zora,Zora,65272475,209.89657550089095
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,dexalot,Dexalot,62868335,25.810023558272967
8ranj8ZjbHqnVkAyhSNS9HAKO0VN/Tb34jZdBROI788=,mint-blockchain,Mint Blockchain,61593452,22.132736420945374
1tglFLCPO1i0woe4TW7pBm1iMqrhlWJ1cv2L/5b0VUk=,eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction,44856767,1480.9713765753734
AAhkBpzlnA5y0kvoCAEDtJoqf+ItxsbGkwYOa0RRmX0=,circlefin,"Circle Internet Financial, LLC.",40596729,14.145776105222211
yBTsqg28U+BoAz6n48dJzWbCDuQGBnsZ1srW1qhIJ10=,sake-finance,Sake,36437310,30.057568291973773
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,safe-global,Safe,32985407,24.90511176838574
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,aave,Aave,32962660,13.786943081674199
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,hyperlane-xyz,Hyperlane,25667536,42.18225906472792
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,reservoirprotocol,Reservoir Protocol,22234416,58.427441481481274
5TUMW7BunipNIyPtlxBlNbrCHFMH4sRoMuly6BLtj44=,sonex,Sonex,21335862,93.79437447251831
