project_id,op_atlas_id,display_name,metric_name,measurement_period,amount
ZpLND65a7Iy7VJrIjdjCjrQzAFi4JaJpkYeg3DJlrsE=,0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,Layer3,gas_fees__jun_2025,Jun 2025,0.9224147984225269
e7NR3DdFT5m8CtDrs9k/YLjjeSX0S2wpwzbyMuZN2AM=,0x08447636de20816960f0427a65677df5571d503f09235b2bec37f7dd5c28161d,Credit,gas_fees__jun_2025,Jun 2025,0.05369514557469279
BXpAWjeSIrRWSlHT561SHU4JKO3BHpomlfoXzuQvE0o=,0xd17c16ed0ff3c31ae81ae9af4070a2150db0be538cabcb720c67cc5f221d3965,World Billboard,gas_fees__jun_2025,Jun 2025,0.08871261695001377
P3dU/62sTr3knh18S5WwzzLcKv9x57/A/r/Byn2LtPU=,0xdafc4d2a060c7d08913ceb05b19c4fe7fb6d93a7f5f1142642be939be16bf6e9,DNA Token,gas_fees__jun_2025,Jun 2025,0.12446329306971365
owZ14rxpDWPBMxBXsdu3ybsF/7IsdtcyAz5JpAp8sb0=,0xeb6d215732b1ed881e718faa8bf8b4b88a94edf021efa9a3cf3e2cc3c22b0961,Multichaintools,gas_fees__jun_2025,Jun 2025,0.00024151330932276128
EYypPkFXU/+CU//RUQ9c1LLDXp+cxt1900KeelqP6/4=,0x250065e82e6a2fd0127f0f7c7e0df7eb305810bd9796f72aa28a0c7f2c71ae08,Relay Protocol,gas_fees__jun_2025,Jun 2025,38.96585992658057
+scaewfadzhdFvLEjEeUT+8dLij4Cy6l7Y0AfHFExJA=,0x2bdfa034cf1e853db8ed4b30531270c7a62d66550cd23383819e816abb234f0a,Cash Convert,gas_fees__jun_2025,Jun 2025,0.28974330221011224
hoa4ascRP246hM5/xNOcw8+s9HwQEupuM0ArXDDj1tU=,0xa8cc5045310579862c79af178bda9675202fa25341464b69db9421ce2ba67971,Caribbean Holdem,gas_fees__jun_2025,Jun 2025,0.008533954722919472
m4GC7BLK8Vd+axaZjQ2B5bJv89yz2hHo49qylNxHxg0=,0x42bdd05fa3beb0b21780bbd35b34eefc3e69e45bc4f17043f6eb6b2bbed26237,Superhero,gas_fees__jun_2025,Jun 2025,0.006400114461989662
jmjaWmM3ZCVtbVVtXskIpz5GwfadqjymebMIT5UCPHE=,0xaf0b91c11966164d5b8e3cf02f082b19479c5f3faca1108ca1e2aec1e1177d06,Rolu,gas_fees__jun_2025,Jun 2025,0.0006230966502039838
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,LI.FI,gas_fees__jun_2025,Jun 2025,5.355069053407725
j2fVNyKANaIPQureuy1bBvztLJHX0y9nPsunU7Q/AGM=,0x5decc7c7bb5ac6448be3408fd18e5c75738725d739711985e2c55026d2fa1391,DeVouch powered by Giveth,contract_invocations__jun_2025,Jun 2025,3525.0
T3o8BppT9GzjMU1hiCkUnfwloGm9+uGLqo8/hmUoWv4=,0x47047238c33fb3f16f4e93d5b9844c06a64525c8a483538dc72085c0df4495e8,Symbiosis,contract_invocations__jun_2025,Jun 2025,72650.0
sMEYAIHyC7RMbAjCcImJti3PrNJCoQPycDnIfVBvxiI=,0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373,RubyScore,contract_invocations__jun_2025,Jun 2025,155450.0
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,zkCodex,contract_invocations__jun_2025,Jun 2025,3490.0
fLewnbJDPjFagt06Gzfo7jUVWQ+G1KxDL3bS+DN89lA=,0x12da4f117ab1a57f2f02078df3dbb9ecd4c66fe7b40535314b21218529f554cd,Whirl Protocol,contract_invocations__jun_2025,Jun 2025,6750.0
4dqHjI/pEtyPjvZVF5KMQ2gz2K9ah7yeFGwbfXSpRxA=,0x1f60db63651f74e2fc8b3ff900d05142552a763c31caf3a8c8e62b0953f02bf2,SuperVol,contract_invocations__jun_2025,Jun 2025,432460.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,OnChainGM,contract_invocations__jun_2025,Jun 2025,288493.0
iIMEOuxGnuaO43gAf8QE1TzOYCV17wclaM9WDTjGGgM=,0xf6d85abeac025b1e33f6ae3402557762e65cc437d0a3d03673d71a4d1236f8f4,Robots.Farm,contract_invocations__jun_2025,Jun 2025,31241.0
EYypPkFXU/+CU//RUQ9c1LLDXp+cxt1900KeelqP6/4=,0x250065e82e6a2fd0127f0f7c7e0df7eb305810bd9796f72aa28a0c7f2c71ae08,Relay Protocol,contract_invocations__jun_2025,Jun 2025,8991884.0
cvWrXXY+pXjcSb88iLMoVR+Po8pw9WkB4U9STSkj4s4=,0x31704fee34d3edec158b5df714b613642bfbbb58ad7466204ded66a3f811b979,Superchain Safe,contract_invocations__jun_2025,Jun 2025,129941.0
/2hjsm9xH1NvgIs/dHx5VOVM4ml/C6hfQu97wBgdpfo=,0xd35cc78b456bf11d4acc96d2c227b29fa4115ad9d93ae211a31974a408ed8303,Diffuse Data Feeds,contract_invocations__jun_2025,Jun 2025,62038.0
d2qAcqLwm9Th/Omlj96c9SrgZQgf6m2i/XcPE+Vb7Cs=,0x857c78f111b50455cff5d1a4e1ffeaf1927a3ed9f671ab09851de3357c906a14,Native,contract_invocations__jun_2025,Jun 2025,355.0
R/s1bYEjmNlJ2C9XthjT1evUQ14obvGzmvmaIcTiSNY=,0x44ca2c89a912ec7e3f2a38aaecde63044fcaa3024839eb628081a3bcba9c0490,DackieVerse,contract_invocations__jun_2025,Jun 2025,1363.0
EWGl5CyDKCdw2krkHJwc8V1FoELaCSXGUis9SHr2+fs=,0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,Linkdrop,contract_invocations__jun_2025,Jun 2025,9216.0
QBrlp+E91cT36hpVMSrvg23jt2IPC+AkUnMHFdHU8SQ=,0x9d4b7018b3a7c6010c5035ef99c485f960e6705ac0e99b4d832b2e748490f089,Orbiter,contract_invocations__jun_2025,Jun 2025,6052.0
VTFjeAN76kGnqTqKP+SMe2HPaIKY3wKvwo613l6OWN0=,0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e,pods.media,contract_invocations__jun_2025,Jun 2025,12029.0
inHPXAwcpnmNnzuMDBO9CsDuph+M4UNF3XwNNhTpafs=,0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,Across Protocol,contract_invocations__jun_2025,Jun 2025,870061.0
tEUQBjhYBdWaLRVt375K9avn6ysFWbvqZz85jmaPR2w=,0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f,deBridge,contract_invocations__jun_2025,Jun 2025,223780.0
Sdq2+YSFX9mIQxdSJsNdQBeXbi9LkjTdXcQ8DeJvKMc=,0x4fbca6c29f26eac481379ffa48ebef14eaab04075bff11e1636aae429542c224,ZEROBASE Staking,contract_invocations__jun_2025,Jun 2025,14243.0
EJUt2EJYkUW6syL+DvamNodWqwKtan54giN9q3uFecw=,0xe8833ceee8beb2b3fb0f7f2dcef576f6f9cf20e35d8e53324d71b0ed47b01982,SOCKET protocol,contract_invocations__jun_2025,Jun 2025,1663876.0
xOZNIZHXWrA+JWBmcsHybyHDy0WZy/gOyw1VaqAupG0=,0xff1edf67227651293a9cff4dce3577c6ca52bf8c7c6f5f133f07b05255379b27,Kelp,contract_invocations__jun_2025,Jun 2025,58547.0
aWuNB+5mklnapGsyBMh4Igpdl8e6JeGAFQW0cp1KN14=,0xc0901c8f9503f0bf91a1cca0c6c90e55af8719cc2237fb4a0bf0770b307cbd11,Basepaint,contract_invocations__jun_2025,Jun 2025,352301.0
RpqNGjYQMqF5P/s1gl0fiuJlQg1yzYe/dq4qdwIDQI0=,0xbd0a2132830ab98440f052dd378cfad9cc3133bd0fa226fd485da2540179b458,Rubic,contract_invocations__jun_2025,Jun 2025,4908.0
jHOi2N54/p/GsZ4tLHRJbh96nqHa/DkEfXKh1TrZ3Zc=,0x81c88822ad7d004a94a2a5ce5d6a2a04466f78d211931230ac0c5a804d36c855,Mint Forest,contract_invocations__jun_2025,Jun 2025,2403176.0
LhmNJDpUL4rqmFhVZn3LA/7JHVuRJ56GF9HoGUUhzt0=,0xff350d81524a79a1062f5f4977b45406b822fb4f150ba5a8516b0edf876add0e,Hermes,contract_invocations__jun_2025,Jun 2025,35.0
b0ma4f7o65FUNGRC2R4eb8Fo7DB6imYfqrM3S0JQ4tc=,0x70ba3cb2e433f1cd9ace8aea84c46d167ba5db12293cd108eaca068d06be3a71,Gains Network (gTrade),contract_invocations__jun_2025,Jun 2025,1304897.0
AZ2Cqzo/nAUqbj7th1e993Xfpf7qvT2WvHlomSZQ78o=,0xa2a580dae44336df1cbcb7a5303880f393068fb96116e10e180e10f5745dccd4,fxhash / $fxh,contract_invocations__jun_2025,Jun 2025,5381.0
f9XY1drAwGvq0ipsMBC3S+hi/BnAOW9s7YSx7LA0qq8=,0x1d3ec77661554ddaeab18519930b218ba5185016a0e770ce4664a831a1eef7f4,Larry,contract_invocations__jun_2025,Jun 2025,380.0
