project_id,display_name,project_name,chain,metric_name,sample_date,measurement_period,amount
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,zkCodex,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,POLYNOMIAL,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,3.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,OnChainGM,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,POLYNOMIAL,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,254.0
gw1/n9hvDoPA0W0U9NMZ74RsNSQViz+i6ArfdDqPn8E=,Guild.xyz,0x3d009f8f7c1e8a3bcbc81ca8ed60d2e86b956dd0fa68c4595f851be37052a2b5,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,2.0
D9n+rXQGt9BVQ/3Ta/BbgMaWPiAH0K+6s+mPnoVHH6E=,PHI,0xf87906563da69538c969ba438f127ce5f2196e76c84c9026ab6dafc4280b6be3,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,34.5
cvWrXXY+pXjcSb88iLMoVR+Po8pw9WkB4U9STSkj4s4=,Superchain Safe,0x31704fee34d3edec158b5df714b613642bfbbb58ad7466204ded66a3f811b979,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,38.0
Js09gjzwO4g6aeV2Fb+ZNlHypJc4DlUozk3enNLotIc=,Dmail Network,0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,1399.0
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,OnChainGM,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,1136.0
ZpLND65a7Iy7VJrIjdjCjrQzAFi4JaJpkYeg3DJlrsE=,Layer3,0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,2806.0
a0PyEDtZEEjxDRe7zWNpHP+358umEogD6bQI1XfI2eY=,zkCodex,0x7a4bb37bc7997b8e9b34775164682ff1f441b716cd235f2e7cdce76677b66007,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,40.0
EYypPkFXU/+CU//RUQ9c1LLDXp+cxt1900KeelqP6/4=,Relay Protocol,0x250065e82e6a2fd0127f0f7c7e0df7eb305810bd9796f72aa28a0c7f2c71ae08,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,4314.5
5pKMLWfNkmCqGNkDWMXHeyYR+9Uc3EOVJRd+EG+ULsc=,Decent.xyz,0x38c38455bb0fd71d2929fcf799279569ab5f5c5d3e1f92f8642ce87aa25accdf,CYBER,amortized_contract_invocations_monthly,2025-06-01,Jun 2025,1.0
